周一 0.33729
周二 0.95499
周三 0.50657
周四 0.35744
周五 0.75357
周六 0.07696
周七 0.56662
周八 0.83903
周九 0.88315
周杰 0.82416
周杰一 0.33753
周杰二 0.58065
周杰三 0.33774
周杰四 0.00577
周杰五 0.30132
周杰六 0.82290
周杰七 0.86386
周杰八 0.86465
周杰九 0.08502
周杰伦 0.97860
周杰伦 稻香 0.66433
周杰伦 青花瓷 0.85247
周杰伦 双截棍 0.19080
周杰伦 七里香 0.61764
周杰伦 简单爱 0.75005
周杰伦 晴天 0.55908
周杰伦 夜曲 0.39951
周杰伦 龙卷风 0.88046
周杰伦 菊花台 0.06565
周杰伦 东风破 0.55167
周杰伦 夜的第七章 0.91787
周杰伦 以父之名 0.25937
周杰伦 爱在西元前 0.48532
周杰伦 霍元甲 0.82853
周杰伦 一路向北 0.00806
周杰伦 最长的电影 0.74626
周杰伦 告白气球 0.44121
周杰伦 头文字D 0.52072
周杰伦 满城尽带黄金甲 0.48482
周杰伦 不能说的秘密 0.51290
